# Mitakshara's SpelloFun - Word List
# Format: word, category
# Lines starting with # are ignored

# Animals
cat, Animals
dog, Animals
frog, Animals
bird, Animals
fish, Animals
duck, Animals
bear, Animals
lion, Animals
elephant, Animals
rabbit, Animals

# Food
apple, Food
cake, Food
egg, Food
milk, Food
bread, Food
grape, Food
pizza, Food
mango, Food
rice, Food
soup, Food

# Nature
sun, Nature
rain, Nature
snow, Nature
tree, Nature
star, Nature
moon, Nature
cloud, Nature
wind, Nature
river, Nature
flower, Nature

# School
pencil, School
bag, School
soap, School
umbrella, School
candle, School
poster, School
eagle, School
eraser, School
umbrella, School
alligator, School
octopus, School
beautiful, School
teacher, School
forest, School
biscuit, School
giraffe, School
